Proclass,Supplier,Directorate,Cost Centre,Account Code,Transaction Date,Amount
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,601.2
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,601.2
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,601.2
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1082.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1082.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1082.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1082.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1157.31
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1157.31
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1157.31
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1157.31
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1330.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1330.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1330.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1330.16
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1578.15
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1578.15
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1578.15
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1578.15
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Domiciliary Care,Individual Care Services,People,LD Home Care,Other agencies,13/01/2021,1683.36
Residential Care,Individual Care Services,People,LD Residential Care Placements,Other agencies,12/01/2021,5081.96
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,-761.17
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,591.2
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,591.2
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,591.2
Domiciliary Care,Individual Support Service Ltd,People,MH Home Care,Other agencies,12/01/2021,591.2
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,857.24
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1093.72
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1241.52
Domiciliary Care,Individual Support Service Ltd,People,MH Home Care,Other agencies,12/01/2021,1271.08
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1344.98
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1566.68
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1803.16
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1921.4
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,1980.52
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,2246.56
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,2305.68
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,2364.8
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,2689.96
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,3044.68
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,3547.2
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,5793.76
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,12/01/2021,5971.12
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,516.25
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,516.25
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,516.25
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,516.25
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,619.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,619.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,619.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,619.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,640.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,640.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,640.5
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/12/2020,640.5
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1497.44
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1497.44
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1497.44
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1497.44
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1711.36
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1711.36
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1711.36
Domiciliary Care,Individual Support Service Ltd,People,LD Home Care,Other agencies,16/12/2020,1711.36
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,18/11/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,18/11/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,18/11/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,18/11/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,20/10/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,20/10/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,20/10/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,20/10/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,21/09/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,21/09/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,21/09/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,30/06/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,30/06/2020,590
Adult Day Care,Individual Support Service Ltd,People,LD Day Care / Day Services,Other agencies,16/03/2020,-5428
Adult Day Care,Individual Support Solutions Ltd,People,LD Day Care / Day Services,Other agencies,12/01/2021,1476
Adult Day Care,Individual Support Solutions Ltd,People,LD Day Care / Day Services,Other agencies,14/12/2020,1968
Adult Day Care,Individual Support Solutions Ltd,People,LD Day Care / Day Services,Other agencies,17/11/2020,1968
Adult Day Care,Individual Support Solutions Ltd,People,LD Day Care / Day Services,Other agencies,20/10/2020,1476
Adult Day Care,Individual Support Solutions Ltd,People,LD Day Care / Day Services,Other agencies,22/09/2020,768
Adult Day Care,Individual Support Solutions Ltd,People,LD Day Care / Day Services,Other agencies,26/08/2020,768
Residential Care,Inshore Support Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,7471.6
Residential Care,Inshore Support Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,7533.12
Residential Care,Inshore Support Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,8646.44
Residential Care,Inshore Support Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,9842.96
Residential Care,Inshore Support Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,11003.76
Residential Care,Inshore Support Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,11334.08
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,23/01/2021,572
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,23/01/2021,572
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,23/01/2021,588
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,23/01/2021,588
Domiciliary Care,Integral Care Solutions Ltd,People,LD Home Care,Other agencies,23/01/2021,1104
Domiciliary Care,Integral Care Solutions Ltd,People,LD Home Care,Other agencies,23/01/2021,1344
Domiciliary Care,Integral Care Solutions Ltd,People,LD Home Care,Other agencies,23/01/2021,1344
Domiciliary Care,Integral Care Solutions Ltd,People,LD Home Care,Other agencies,23/01/2021,1344
Social & Community Care,Integral Care Solutions Ltd,People,OP Individual Service Funds,Other agencies,12/01/2021,2660
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,11/01/2021,504
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,11/01/2021,504
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,11/01/2021,504
Domiciliary Care,Integral Care Solutions Ltd,People,OP Home Care,Other agencies,11/01/2021,504
Foster Care,Integrated Services Programme,People,Fostering - External Fees,Other agencies,28/12/2020,5965.33
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,550.08
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,570.08
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,653.69
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,658.84
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1749.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Residential Care,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,1829.92
Adults,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,2400
Adults,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,2400
Adults,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,2400
Adults,Interhaze Ltd,People,OP Residential Care Placements,Other agencies,12/01/2021,2400
Childrens Residential Care,J A Collighan T/A Brythan House Ltd,People,SEN External Placements,Other agencies,31/12/2020,2800
Childrens Residential Care,J Rafter T/A Footsteps to Futures Ltd,People,Residential - External Fees,Other agencies,16/12/2020,24140.01
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2354.08
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2443.06
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2686.23
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2686.23
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2806.23
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2823.17
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2842.62
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2842.62
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2890.92
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,2993.98
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,3254.96
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,3254.96
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,3254.96
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,3254.96
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,3474.39
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,3742.32
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,4477.33
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,5161.5
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/12/2020,6388.17
Foster Care,Jay Fostering Ltd,People,Fostering - External Fees,Other agencies,15/08/2020,543.69
Residential Care,Karuna Care (TLC) Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,1000
Residential Care,Karuna Care (TLC) Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,1000
Residential Care,Karuna Care (TLC) Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,1000
Residential Care,Karuna Care (TLC) Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,1000
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,13/11/2020,17917
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,13/11/2020,17917
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,13/11/2020,18625
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,12/11/2020,16720
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,12/11/2020,17917
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,12/11/2020,18625
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,23/09/2020,16174.34
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,10/07/2020,17000
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,10/07/2020,17917
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,10/07/2020,17917
Childrens Residential Care,Kedleston (OS Education) Ltd,People,SEN External Placements,Other agencies,13/03/2020,17000
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2021,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,22/01/2021,8215
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,19/01/2021,565.92
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,-943.2
Residential Care,Key2 Futures Ltd,People,MH Home Care,Other agencies,31/12/2020,-540.95
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,-535.06
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,-535.06
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,565.92
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,628.8
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,628.8
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,880.32
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1320.48
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1399.2
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1457
Residential Care,Key2 Futures Ltd,People,Section17 Payments West,Other agencies,31/12/2020,1509.12
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1509.12
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,MH Home Care,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Section17 Payments Central,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,31/12/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,2021.2
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,2795.04
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,2915
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,3888.95
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,3970.48
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,4770
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,6625
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,7356.09
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,7927.01
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,31/12/2020,10858.99
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,15/12/2020,1446.24
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,15/12/2020,1651.03
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,15/12/2020,2903.78
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/11/2020,1062.9
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/11/2020,1200
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,30/11/2020,1823.52
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/11/2020,1886.4
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/11/2020,1886.4
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/11/2020,2841.6
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1098.33
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1240
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,UASC - External Funding,Other agencies,30/10/2020,1949.28
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,2340.19
Residential Care,Key2 Futures Ltd,People,Supported Accommodation Fees,Other agencies,30/10/2020,2936.32
Childrens Residential Care,Keys PCE Ltd,People,Residential - External Fees,Other agencies,23/12/2020,20382.86
Childrens Residential Care,Keys PCE Ltd,People,Residential - External Fees,Other agencies,04/12/2020,17470.71
Childrens Residential Care,Keys PCE Ltd,People,Residential - External Fees,Other agencies,04/12/2020,17470.71
Childrens Residential Care,Keys PCE Ltd,People,Residential - External Fees,Other agencies,04/12/2020,17470.71
Nursing Homes,Kingly Care Partnership,People,LD Nursing Care Placements,Other agencies,12/01/2021,1960
Nursing Homes,Kingly Care Partnership,People,LD Nursing Care Placements,Other agencies,12/01/2021,1960
Nursing Homes,Kingly Care Partnership,People,LD Nursing Care Placements,Other agencies,12/01/2021,1960
Nursing Homes,Kingly Care Partnership,People,LD Nursing Care Placements,Other agencies,12/01/2021,1960
Residential Care,KYS Ltd T/A Ashleigh House,People,OP Residential Care Placements,Other agencies,12/01/2021,1736.4
Residential Care,KYS Ltd T/A Ashleigh House,People,OP Residential Care Placements,Other agencies,12/01/2021,1793.16
Residential Care,KYS Ltd T/A Ashleigh House,People,MH Residential Care Placements,Other agencies,12/01/2021,1793.16
Residential Care,KYS Ltd T/A Ashleigh House,People,OP Residential Care Placements,Other agencies,12/01/2021,1793.16
Residential Care,KYS Ltd T/A Ashleigh House,People,OP Residential Care Placements,Other agencies,12/01/2021,1793.16
Residential Care,KYS Ltd T/A Ashleigh House,People,OP Residential Care Placements,Other agencies,12/01/2021,1793.16
Residential Care,KYS Ltd T/A Ashleigh House,People,LD Residential Care Placements,Other agencies,12/01/2021,1793.16
Residential Care,Lammas House,People,OP Residential Care Placements,Other agencies,12/01/2021,660
Residential Care,Lammas House,People,OP Residential Care Placements,Other agencies,12/01/2021,700
Residential Care,Lammas House,People,OP Residential Care Placements,Other agencies,12/01/2021,1769.92
Residential Care,Lammas House,People,OP Residential Care Placements,Other agencies,12/01/2021,1769.92
Childrens Residential Care,Leamington Lamp Ltd,People,SEN External Placements,Other agencies,19/12/2020,975
Childrens Residential Care,Leamington Lamp Ltd,People,SEN External Placements,Other agencies,15/12/2020,1230
Residential Care,Life Path Trust Ltd,People,LD Residential Care Placements,Other agencies,12/01/2021,2076.36
Domiciliary Care,Life Path Trust Ltd,People,LD Home Care,Other agencies,10/01/2021,555.8
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,619.32
Domiciliary Care,Life Path Trust Ltd,People,LD Home Care,Other agencies,10/01/2021,714.6
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,801.94
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,801.94
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,801.94
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,801.94
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,889.28
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,889.28
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,889.28
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,889.28
Domiciliary Care,Life Path Trust Ltd,People,OP Home Care,Other agencies,10/01/2021,921.04
